,country,region,lead_investors,company_link,img_src,company_name,post_money_value,total_eq_funding
0,China,Asia,"Kohlberg Kravis Roberts Japan, Sequoia Capital",https://www.crunchbase.com/organization/bytedance,https://images.crunchbase.com/image/upload/t_cb-default-original/cglezonqxgqqeirc0nsj,ByteDance,$220B,$8B
1,China,Asia,"GIC, Temasek Holdings",https://www.crunchbase.com/organization/ant-group,https://images.crunchbase.com/image/upload/t_cb-default-original/sgzmygfsbqgmbxslqreb,Ant Group,$150B,$19B
2,United States,North America,Mirae Asset Venture Investment,https://www.crunchbase.com/organization/space-exploration-technologies,https://images.crunchbase.com/image/upload/t_cb-default-original/u196odmivjn2dvw09xhx,SpaceX,$125B,$9B
3,India,Asia,Abu Dhabi Investment Authority,https://www.crunchbase.com/organization/reliance-retail,https://images.crunchbase.com/image/upload/t_cb-default-original/c4nfj4rdzj2i2ssx3dg4,Reliance Retail,$100B,$8B
4,United States,North America,Microsoft,https://www.crunchbase.com/organization/openai,https://images.crunchbase.com/image/upload/t_cb-default-original/jjykwqqhsscreywea4gb,OpenAI,$80B,$11B
5,China,Asia,"General Atlantic, Mubadala",https://www.crunchbase.com/organization/shein-b79e,https://images.crunchbase.com/image/upload/t_cb-default-original/wcmfrgcojusflafdtn86,Shein,$66B,$4B
6,United States,North America,"Andreessen Horowitz, Baillie Gifford",https://www.crunchbase.com/organization/stripe,https://images.crunchbase.com/image/upload/t_cb-default-original/xpyon9burvvdliqnwea5,Stripe,$65B,$9B
7,India,Asia,Google,https://www.crunchbase.com/organization/reliance-jio-infocomm-ltd-234,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Reliance Jio,$58B,$20B
8,United Kingdom,Europe,Woodford Investment Management,https://www.crunchbase.com/organization/revolut,https://images.crunchbase.com/image/upload/t_cb-default-original/t6nais5lghcxmc9nkpnk,Revolut,$45B,$2B
9,United States,North America,"NVIDIA, T. Rowe Price",https://www.crunchbase.com/organization/databricks,https://images.crunchbase.com/image/upload/t_cb-default-original/bypt5jj3j7aoqyzzf8fo,Databricks,$43B,$4B
10,United Kingdom,Europe,Tiger Global Management,https://www.crunchbase.com/organization/checkout-com,https://images.crunchbase.com/image/upload/t_cb-default-original/wam8pfmhebyvp8tnnwvj,Checkout.com,$40B,$2B
11,United States,North America,Altria,https://www.crunchbase.com/organization/juul,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",JUUL,$38B,$15B
12,United States,North America,Clearlake Capital Group,https://www.crunchbase.com/organization/fanatics,https://images.crunchbase.com/image/upload/t_cb-default-original/lfeg8f7qzhwnhq4aztos,Fanatics,$31B,$5B
13,United States,North America,General Motors,https://www.crunchbase.com/organization/cruise,https://images.crunchbase.com/image/upload/t_cb-default-original/dftlxgiwn115x4jrpq1v,Cruise,$30B,$9B
14,United States,North America,Alphabet,https://www.crunchbase.com/organization/waymo,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Waymo,$30B,$11B
15,China,Asia,"Alibaba Group, SoftBank Vision Fund",https://www.crunchbase.com/organization/alibaba-bendi-shenghuo-fuwu-gonsi,https://images.crunchbase.com/image/upload/t_cb-default-original/ncnj1zoq49lj2guk7ipe,Alibaba Bendi Shenghuo Fuwu Gongsi,$30B,$4B
16,Australia,Oceania,Stack Capital,https://www.crunchbase.com/organization/canva,https://images.crunchbase.com/image/upload/t_cb-default-original/a3t4x0zxeqbvj8qlmqce,Canva,$26B,$580M
17,United States,North America,Sequoia Capital Global Equities,https://www.crunchbase.com/organization/chime-2,https://images.crunchbase.com/image/upload/t_cb-default-original/kkeyxonxyf2uebvarwqv,Chime,$25B,$2B
18,United States,North America,X (formerly Twitter),https://www.crunchbase.com/organization/xai,https://images.crunchbase.com/image/upload/t_cb-default-original/fx3dkdpnolvubjldo54x,xAI,$24B,$6B
19,United States,North America,The Walt Disney Company,https://www.crunchbase.com/organization/epic-games-2,https://images.crunchbase.com/image/upload/t_cb-default-original/htztaeqi217v93qpfq7k,Epic Games,$23B,$8B
20,India,Asia,Qatar Investment Authority,https://www.crunchbase.com/organization/byju-s,https://images.crunchbase.com/image/upload/t_cb-default-original/oz8zg6wijskstywzpmfu,BYJU'S,$22B,$5B
21,Indonesia,Asia,EWTP Arabia Capital,https://www.crunchbase.com/organization/j-t-express,https://images.crunchbase.com/image/upload/t_cb-default-original/9bc9636a21f78a3f6ebc,J&T Express,$20B,$5B
22,United Kingdom,Europe,"CPP Investments, Motive Partners",https://www.crunchbase.com/organization/fnz,https://images.crunchbase.com/image/upload/t_cb-default-original/a0i7hpvw086brctsmxn4,FNZ,$20B,$1B
23,United States,North America,Coatue,https://www.crunchbase.com/organization/coreweave,https://images.crunchbase.com/image/upload/t_cb-default-original/xq3fe9rof9a6ar8yfwhk,CoreWeave,$19B,$2B
24,China,Asia,"APOFCO, CICC",https://www.crunchbase.com/organization/jd-finance,https://images.crunchbase.com/image/upload/t_cb-default-original/vgb6gkmg6mfh8iwpuejw,JD Digits,$18B,$5B
25,United States,North America,ICONIQ Growth,https://www.crunchbase.com/organization/realtimeboard,https://images.crunchbase.com/image/upload/t_cb-default-original/hnkpvrihomgkmr5yi09o,Miro,$18B,$476M
26,China,Asia,"Temasek Holdings, Tencent",https://www.crunchbase.com/organization/xiaohongshu,https://images.crunchbase.com/image/upload/t_cb-default-original/pdgilmhekqtp9aqoaggj,Xiaohongshu,$17B,$918M
